Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NLY,"Annaly Capital Management Inc",22.71,0.09,+0.40%,8.92%,19%,18122,37.8%,62.2%,0.60770049680625
RBLX,"Roblox Corp Cl A",41.21,0.54,+1.33%,25.09%,26%,17867,44.2%,55.8%,0.79315535929346
CRML,"Critical Metals Corp",7.3,0.38,+5.49%,7.05%,3%,17694,34.2%,65.8%,0.52023369705301
CNM,"Core & Main Inc Cl A",43.77,1.7,+4.04%,62.78%,79%,17468,92.5%,7.5%,12.416282642089
ANET,"Arista Networks Inc",186.1,-3.16,-1.67%,14.93%,17%,17312,44.9%,55.1%,0.81581707572897
POET,"Poet Technologies Inc",7.29,0.19,+2.68%,6.14%,5%,17052,13.8%,86.2%,0.15984219834036
NEE,"Nextera Energy",83.1,0.17,+0.20%,0.00%,0%,16781,66.9%,33.1%,2.0241484952244
DE,"Deere & Company",698.37,22.29,+3.30%,61.70%,59%,16675,46.3%,53.7%,0.86312849162011
DAL,"Delta Air Lines Inc",78.14,1.76,+2.30%,9.86%,12%,16645,28.9%,71.1%,0.40737296017587
GM,"General Motors Company",84.87,-0.76,-0.89%,24.60%,22%,16527,28.7%,71.3%,0.4027329825157
VOD,"Vodafone Grp Plc ADR",16.07,0.02,+0.12%,4.13%,14%,16411,0.4%,99.6%,0.0041608027901854
MO,"Altria Group",69.56,-0.01,-0.01%,53.08%,60%,16370,30.7%,69.3%,0.44292639929484
CDE,"Coeur Mining Inc",21.42,1.22,+6.04%,18.58%,11%,16284,25.9%,74.1%,0.34913007456504
S,"Sentinelone Inc Cl A",19.68,-0.95,-4.60%,31.09%,38%,16262,17.3%,82.7%,0.20862133036046
STM,"Stmicroelectronics N.V. ADR",50.71,1.31,+2.65%,27.92%,45%,16193,18.7%,81.3%,0.23019068601383
GEV,"GE Vernova Inc",921.94,23.41,+2.61%,6.35%,5%,16172,46.7%,53.3%,0.87610208816705
SLB,"Slb Limited",58.13,0.98,+1.71%,41.56%,55%,16146,42.1%,57.9%,0.72813871347533
CMCSA,"Comcast Corp A",26.81,0.51,+1.94%,18.67%,13%,16121,32.1%,67.9%,0.47250639386189
MRK,"Merck & Company",151.64,1.78,+1.19%,45.59%,31%,16101,38.8%,61.2%,0.63528336380256
DVN,"Devon Energy Corp",49.03,-0.02,-0.04%,30.73%,19%,16085,46.0%,54.0%,0.85055223193741
SBET,"Sharplink Inc",8.1,-0.05,-0.61%,12.11%,2%,15962,42.3%,57.7%,0.73443442355754
FTNT,"Fortinet Inc",154.54,-7.31,-4.52%,36.43%,52%,15933,71.6%,28.4%,2.5242203052422
RDW,"Redwire Corp",10.33,0.07,+0.68%,11.98%,6%,15888,44.2%,55.8%,0.79322799097065
SEDG,"Solaredge Tech",33.98,1.49,+4.59%,17.77%,4%,15777,40.8%,59.2%,0.69009105516872
CELH,"Celsius Holdings Inc",31.29,0.57,+1.86%,28.79%,25%,15752,32.7%,67.3%,0.48631817324023
PG,"Procter & Gamble",147.64,1.43,+0.98%,16.37%,20%,15750,34.5%,65.5%,0.52690256907416
APA,"Apa Corp",44.69,0.4,+0.89%,24.18%,15%,15580,11.1%,88.9%,0.12450378924576
LQDA,"Liquidia Corp",69.68,2.77,+4.14%,28.42%,34%,15555,62.9%,37.1%,1.6977107180021
V,"Visa Inc",378.4,5.73,+1.54%,22.43%,10%,15535,50.3%,49.7%,1.011003236246
BBAI,"Bigbear.Ai Holdings Inc",2.95,0,0.00%,1.50%,2%,15513,16.1%,83.9%,0.19248212775771
CRK,"Comstock Resources",15.54,-0.48,-3.00%,19.66%,4%,15507,20.8%,79.2%,0.26237381960274
QURE,"Uniqure N.V.",46.23,-1.63,-3.41%,16.71%,47%,15488,29.8%,70.2%,0.42366026289181
ALLY,"Ally Financial",42.66,0.81,+1.94%,9.84%,5%,15481,11.5%,88.5%,0.12975260891776
SHOP,"Shopify Inc",141.87,2.05,+1.47%,9.62%,11%,15430,41.3%,58.7%,0.70403092214246
KOPN,"Kopin Corp",4.29,0.08,+1.90%,0.00%,0%,15389,0.6%,99.4%,0.0055541035023523
MOS,"Mosaic Company",25.78,1,+4.04%,53.62%,62%,15370,23.2%,76.8%,0.30210098271772
